iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-02-03,164727.0,537.0,531.857,7420.0,2.0,2.429,4135.188,13.48,13.351,186.266,0.05,0.061,1.93,,,,,,,,,,,,,,,,,,5152297.0,4577740.0,3912336.0,,6868.0,11157.0,12.93,11.49,9.82,,280.0,9481.0,0.024,19.44,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-02-03,10927321.0,31209.0,25535.714,240239.0,437.0,368.143,7955.9,22.722,18.592,174.912,0.318,0.268,,,,,,,,,,,,,,,,,,,357212861.0,221186279.0,149866575.0,2691706.0,266946.0,932745.0,26.01,16.1,10.91,0.2,679.0,467173.0,0.034,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-02-03,261240.0,2697.0,1460.714,3362.0,16.0,6.429,90931.431,938.762,508.44,1170.232,5.569,2.238,1.12,,,,,,,,,7554.0,1570334.0,546.596,2.629,2416.0,0.841,0.605,1.7,tests performed,2612804.0,1250672.0,1156751.0,205381.0,,16639.0,90.95,43.53,40.26,7.15,5792.0,6816.0,0.237,61.11,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-02-03,255836.0,951.0,1448.286,6618.0,14.0,11.286,5734.096,21.315,32.461,148.33,0.314,0.253,1.02,40.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-02-03,36470.0,155.0,206.0,147.0,1.0,0.286,471468.832,2003.775,2663.081,1900.354,12.928,3.694,0.92,,,,,,,,,,297098.0,3840.758,,270.0,3.49,0.952,1.1,people tested,140193.0,57709.0,53104.0,,,682.0,181.24,74.6,68.65,,8817.0,9.0,0.012,47.22,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-02-03,98319.0,52.0,59.714,1896.0,1.0,0.429,2897.393,1.532,1.76,55.874,0.029,0.013,0.54,,,,,,,,,13038.0,1384080.0,40.788,0.384,2757.0,0.081,0.022,46.2,tests performed,14588435.0,9713546.0,4731866.0,,,131795.0,42.99,28.63,13.94,,3884.0,92281.0,0.272,64.81,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-02-03,2384.0,23.0,16.286,8.0,0.0,0.143,157619.835,1520.661,1076.741,528.926,0.0,9.445,,,,,,,,,,,,,,,,,,,21612.0,10211.0,9351.0,2050.0,,31.0,142.89,67.51,61.82,13.55,2050.0,3.0,0.02,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-02-03,6732.0,105.0,41.429,127.0,0.0,0.0,68187.343,1063.528,419.623,1286.363,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,123555.0,63197.0,60358.0,,,103.0,125.15,64.01,61.14,,1043.0,35.0,0.035,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-02-03,8515285.0,42437.0,43933.286,122152.0,318.0,257.143,186714.863,930.517,963.326,2678.43,6.973,5.638,0.78,2750.0,60.299,,,,,,,46527.0,32815997.0,719.557,1.02,58223.0,1.277,0.479,2.1,tests performed,88600891.0,39788166.0,34995196.0,13554259.0,311373.0,349849.0,194.28,87.24,76.73,29.72,7671.0,41950.0,0.092,34.26,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-02-03,379266.0,4388.0,3006.857,8065.0,5.0,4.286,127779.53,1478.373,1013.048,2717.201,1.685,1.444,2.06,,,,,,,,,4673.0,2754131.0,927.902,1.574,8313.0,2.801,0.362,2.8,tests performed,1894651.0,1045611.0,837694.0,5650.0,,9896.0,63.83,35.23,28.22,0.19,3334.0,6531.0,0.22,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2022-02-03,33200.0,54.0,68.857,194.0,1.0,0.143,309715.938,503.755,642.354,1809.786,9.329,1.333,,,,,,,,,,,,,,,,,,,166692.0,86761.0,79931.0,,82.0,65.0,155.5,80.94,74.57,,606.0,36.0,0.034,37.96,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2022-02-03,102374585.0,659279.0,661569.857,1303719.0,2281.0,1976.429,21882.182,140.918,141.408,278.665,0.488,0.422,,,,,,,,,,,,,,,,,,,6908753221.0,3312854027.0,2790723817.0,513406654.0,9826558.0,12797735.0,147.67,70.81,59.65,10.97,2735.0,2943499.0,0.063,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2022-02-03,2676939.0,32179.0,31379.143,4073.0,86.0,85.143,103804.734,1247.818,1216.802,157.94,3.335,3.302,0.86,313.0,12.137,4448.0,172.482,,,,,110188.0,61391571.0,2380.605,4.273,113093.0,4.385,0.278,3.6,tests performed,50653287.0,21763718.0,20258283.0,8631286.0,252746.0,230830.0,196.42,84.39,78.56,33.47,8951.0,31465.0,0.122,66.2,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2022-02-03,1959017.0,38135.0,33050.857,14167.0,24.0,17.857,216631.804,4217.04,3654.826,1566.614,2.654,1.975,1.29,190.0,21.011,1771.0,195.841,,,,,1161196.0,145174272.0,16053.645,128.407,725933.0,80.275,0.046,22.0,tests performed,17709243.0,6755031.0,6770587.0,4525847.0,28346.0,30184.0,195.83,74.7,74.87,50.05,3338.0,2528.0,0.028,61.11,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2022-02-03,676426.0,6113.0,4702.429,8797.0,18.0,19.0,66164.848,597.945,459.97,860.482,1.761,1.858,1.92,,,,,,,,,17272.0,6208402.0,607.277,1.689,12649.0,1.237,0.372,2.7,tests performed,12114431.0,5239838.0,4746927.0,2127666.0,38436.0,29835.0,118.5,51.25,46.43,20.81,2918.0,2467.0,0.024,43.52,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2022-02-03,32680.0,35.0,43.429,748.0,0.0,1.857,82335.216,88.18,109.416,1884.539,0.0,4.679,0.78,,,,,,,,,509.0,210442.0,530.195,1.282,442.0,1.114,0.119,8.4,tests performed,318916.0,160505.0,151520.0,18037.0,,434.0,80.35,40.44,38.17,4.54,1093.0,110.0,0.028,42.59,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2022-02-03,398665.0,8063.0,7144.286,1410.0,1.0,1.143,228030.739,4611.922,4086.43,806.5,0.572,0.654,1.52,,,,,,,,,31088.0,8840015.0,5056.363,17.782,26852.0,15.359,0.266,3.8,units unclear,3364593.0,1225330.0,1195382.0,943881.0,2904.0,2541.0,192.45,70.09,68.37,53.99,1453.0,659.0,0.038,50.93,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2022-02-03,1835776.0,11596.0,12635.0,28494.0,33.0,29.429,11038.71,69.728,75.976,171.337,0.198,0.177,1.2,,,,,,,,,44843.0,12593619.0,75.727,0.27,43199.0,0.26,0.292,3.4,tests performed,156416604.0,95440321.0,59711538.0,1264745.0,1414487.0,935050.0,94.05,57.39,35.91,0.76,5623.0,588255.0,0.354,66.67,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2022-02-03,46506.0,609.0,626.286,283.0,1.0,0.857,161643.055,2116.729,2176.81,983.636,3.476,2.979,1.24,,,,,,,,,,,,,,,,,,305374.0,158463.0,146911.0,,194.0,184.0,106.14,55.08,51.06,,640.0,94.0,0.033,64.81,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2022-02-03,753495.0,4990.0,2773.857,6099.0,15.0,15.286,79795.151,528.441,293.752,645.884,1.589,1.619,1.21,,,,,,,,,50465.0,11823477.0,1252.107,5.344,35978.0,3.81,0.077,13.0,tests performed,10028295.0,5391526.0,4233740.0,,,44895.0,106.2,57.1,44.84,,4754.0,16661.0,0.176,23.15,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2022-02-03,3267656.0,38027.0,37133.143,29185.0,53.0,35.286,280911.466,3269.077,3192.235,2508.955,4.556,3.033,1.26,431.0,37.052,4239.0,364.415,,,2553.0,219.474,92896.0,30530212.0,2624.599,7.986,94334.0,8.11,0.427,2.3,tests performed,23960705.0,9158644.0,8884962.0,6343543.0,17651.0,29987.0,205.98,78.73,76.38,54.53,2578.0,5108.0,0.044,56.48,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2022-02-03,53198.0,423.0,486.286,629.0,0.0,0.714,131380.66,1044.664,1200.958,1553.412,0.0,1.764,1.19,,,,,,,,,,450406.0,1112.347,,2638.0,6.515,0.266,3.8,tests performed,445691.0,232515.0,203237.0,,,785.0,110.07,57.42,50.19,,1939.0,70.0,0.017,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2022-02-03,26498.0,0.0,6.857,163.0,0.0,0.0,2128.177,0.0,0.551,13.091,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,2022-02-03,10921.0,128.0,52.714,118.0,1.0,0.286,175884.172,2061.457,848.971,1900.406,16.105,4.601,,,,,,,,,,,,,,,,,,,120535.0,46695.0,45863.0,27977.0,,546.0,194.12,75.2,73.86,45.06,8793.0,11.0,0.018,44.44,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2022-02-03,5532.0,139.0,186.714,4.0,0.0,0.143,7093.217,178.228,239.408,5.129,0.0,0.183,1.63,,,,,,,,,7213.0,1476108.0,1892.689,9.249,10722.0,13.748,0.017,57.4,samples tested,1435774.0,593980.0,570751.0,,,5024.0,184.1,76.16,73.18,,6442.0,35.0,0.004,78.7,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2022-02-03,867071.0,3396.0,3616.286,21073.0,28.0,35.571,73276.066,286.996,305.612,1780.877,2.366,3.006,1.02,143.0,12.085,1258.0,106.313,,,,,16146.0,3658461.0,309.176,1.364,14435.0,1.22,0.282,3.5,tests performed,11932309.0,6745618.0,5289506.0,892146.0,36542.0,39078.0,100.84,57.01,44.7,7.54,3302.0,11544.0,0.098,26.85,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022-02-03,7123.0,20.0,42.0,29.0,1.0,0.286,269351.484,756.287,1588.202,1096.616,37.814,10.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445.0,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,2022-02-03,353137.0,1918.0,1603.429,14603.0,48.0,51.429,108209.418,587.72,491.328,4474.7,14.708,15.759,1.15,,,,,,,,,,,,,,,,,,1924950.0,943394.0,846080.0,135476.0,,4315.0,58.98,28.91,25.93,4.15,1322.0,954.0,0.029,35.19,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,2022-02-03,256041.0,3005.0,756.429,2585.0,4.0,0.714,106806.578,1253.525,315.541,1078.323,1.669,0.298,1.19,,,,,,,,,,2108285.0,879.463,,2025.0,0.845,0.374,2.7,tests performed,,,,,,,,,,,,,,21.3,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,2022-02-03,26107894.0,287149.0,188299.857,630301.0,1000.0,701.571,122003.244,1341.859,879.933,2945.422,4.673,3.278,1.38,,,,,,,,,,67204366.0,314.049,,74770.0,0.349,,,tests performed,366488450.0,171219037.0,150497414.0,49796615.0,1374578.0,1099789.0,171.26,80.01,70.33,23.27,5139.0,279705.0,0.131,53.24,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,2022-02-03,5928.0,53.0,17.0,51.0,2.0,0.286,194852.579,1742.103,558.788,1676.363,65.74,9.391,,,,,,,,,,,,,,,,,,,36330.0,18753.0,17215.0,,,6.0,119.42,61.64,56.59,,197.0,4.0,0.013,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,2022-02-03,16691.0,215.0,73.143,98.0,0.0,0.0,37802.47,486.941,165.657,221.954,0.0,0.0,1.39,,,,,,,,,,,,,,,,,,979285.0,407042.0,403385.0,,,2022.0,221.79,92.19,91.36,,4580.0,39.0,0.009,57.41,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,2022-02-03,980402.0,8142.0,8133.714,33588.0,96.0,81.571,142156.161,1180.572,1179.371,4870.187,13.92,11.828,1.14,513.0,74.384,5684.0,824.168,,,,,37005.0,8595169.0,1246.281,5.366,33655.0,4.88,0.242,4.1,tests performed,4192273.0,,2006975.0,625769.0,10065.0,7558.0,60.79,,29.1,9.07,1096.0,,,50.0,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,2022-02-03,20664.0,15.0,10.429,372.0,1.0,0.857,961.246,0.698,0.485,17.305,0.047,0.04,0.38,,,,,,,,,506.0,309986.0,14.42,0.024,278.0,0.013,0.038,26.7,tests performed,,,,,,,,,,,,,,2.78,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,2022-02-03,37562.0,93.0,42.429,38.0,0.0,0.0,3064.927,7.588,3.462,3.101,0.0,0.0,0.63,,,,,,,,,3078.0,1360036.0,110.974,0.251,2835.0,0.231,0.015,66.8,tests performed,,,,,,,,,,,,,,8.33,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,2022-02-03,121484.0,46.0,47.714,3015.0,0.0,0.0,7168.701,2.714,2.816,177.913,0.0,0.0,1.33,,,,,,,,,,,,,,,,,,33223247.0,14356864.0,13765926.0,6153608.0,38137.0,46879.0,196.05,84.72,81.23,36.31,2766.0,1651.0,0.01,,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,2022-02-03,116718.0,2605.0,372.143,1880.0,13.0,1.857,4287.279,95.687,13.67,69.056,0.478,0.068,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,2022-02-03,3095641.0,14025.0,13987.571,34378.0,171.0,144.286,81318.905,368.421,367.437,903.07,4.492,3.79,0.79,1118.0,29.369,9426.0,247.61,,,,,84728.0,56795249.0,1491.945,2.226,79645.0,2.092,0.176,5.7,tests performed,78583367.0,32375515.0,30263587.0,15944265.0,181399.0,210373.0,206.43,85.05,79.5,41.88,5526.0,14865.0,0.039,78.24,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,2022-02-03,55754.0,15.0,22.714,396.0,0.0,0.429,99223.885,26.695,40.424,704.75,0.0,0.763,0.36,,,,,,,,,427.0,,,0.76,,,,,tests performed,,,,,,,,,,,,,,55.56,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,2022-02-03,15934.0,2146.0,314.286,15.0,0.0,0.0,239616.229,32271.647,4726.243,225.571,0.0,0.0,,,,,,,,,,,,,,,,,,,137430.0,59308.0,57473.0,,,120.0,206.67,89.19,86.43,,1805.0,17.0,0.026,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,2022-02-03,14023.0,104.0,26.143,110.0,0.0,0.0,2850.211,21.138,5.314,22.358,0.0,0.0,0.6,,,,,,,,,,82526.0,16.774,,123.0,0.025,0.212,4.7,tests performed,652134.0,572911.0,549473.0,,,4817.0,13.25,11.64,11.17,,979.0,4246.0,0.086,24.07,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
TCD,Africa,Chad,2022-02-03,7157.0,0.0,11.714,190.0,0.0,0.0,423.116,0.0,0.693,11.233,0.0,0.0,0.57,,,,,,,,,,198518.0,11.736,,266.0,0.016,0.043,23.3,tests performed,392157.0,254847.0,136143.0,,,1229.0,2.32,1.51,0.8,,73.0,0.0,0.0,35.19,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2022-02-03,2258005.0,36729.0,30304.429,39824.0,82.0,32.857,117528.756,1911.738,1577.34,2072.832,4.268,1.71,1.62,524.0,27.274,,,244.0,12.7,1736.0,90.358,137013.0,30040412.0,1563.598,7.132,121321.0,6.315,0.25,4.0,tests performed,46826149.0,17634898.0,16977242.0,12788118.0,44094.0,49438.0,243.73,91.79,88.37,66.56,2573.0,6886.0,0.036,35.65,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,39983.5,17.26,10.19,2081.134
CHN,Asia,China,2022-02-03,106270.0,29.0,56.429,4636.0,0.0,0.0,73.583,0.02,0.039,3.21,0.0,0.0,0.97,,,,,,,,,,,,,,,,,,3001624000.0,1266070000.0,1227387000.0,,731000.0,1734857.0,207.84,87.66,84.99,,1201.0,148000.0,0.01,69.91,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2022-02-03,5930393.0,13568.0,16275.857,135043.0,262.0,250.143,115679.23,264.66,317.48,2634.171,5.111,4.879,0.78,,,,,,,,,52384.0,32270008.0,629.464,1.022,55406.0,1.081,0.362,2.8,tests performed,71927908.0,40348092.0,31668670.0,5715017.0,227734.0,225309.0,140.3,78.7,61.77,11.15,4395.0,69361.0,0.135,59.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2022-02-03,7870.0,37.0,6.571,160.0,0.0,0.143,8858.064,41.645,7.396,180.088,0.0,0.161,0.58,,,,,,,,,,,,,,,,,,598000.0,341102.0,256898.0,,,609.0,67.31,38.39,28.92,,685.0,211.0,0.024,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2022-02-03,23705.0,0.0,7.429,371.0,0.0,0.0,4190.371,0.0,1.313,65.582,0.0,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2022-02-03,2.0,0.0,0.0,,,,113.817,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17572.0,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,2022-02-03,715749.0,7189.0,5795.857,7621.0,16.0,14.286,139276.439,1398.896,1127.806,1482.958,3.113,2.78,1.54,,,,,,,,,7704.0,2515891.0,489.563,1.499,11521.0,2.242,0.42,2.4,people tested,8315360.0,4059598.0,3676687.0,579075.0,,13171.0,161.81,79.0,71.54,11.27,2563.0,4969.0,0.097,57.41,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2022-02-03,80783.0,0.0,42.286,785.0,0.0,0.429,2986.032,0.0,1.563,29.016,0.0,0.016,0.53,,,,,,,,,1388.0,1354210.0,50.057,0.051,2295.0,0.085,0.032,31.0,tests performed,7591109.0,5208637.0,2382472.0,,,12121.0,28.06,19.25,8.81,,448.0,4662.0,0.017,15.74,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2022-02-03,963370.0,8815.0,7670.857,13989.0,42.0,52.0,236024.242,2159.662,1879.349,3427.285,10.29,12.74,1.08,,,2008.0,491.957,,,1641.0,402.152,18142.0,4285836.0,1050.024,4.445,15712.0,3.849,0.488,2.0,people tested,5114729.0,2296242.0,2208736.0,,7220.0,6193.0,125.31,56.26,54.11,,1517.0,666.0,0.016,37.96,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2022-02-03,1049406.0,1546.0,2203.143,8420.0,5.0,5.286,92724.205,136.603,194.667,743.981,0.442,0.467,0.91,,,,,,,,,,,,,,,,,,34298831.0,10571945.0,9831581.0,5358553.0,19966.0,74743.0,303.06,93.41,86.87,47.35,6604.0,2433.0,0.021,,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2022-02-03,37526.0,100.0,114.857,242.0,5.0,2.429,227711.838,606.811,696.966,1468.482,30.341,14.737,,,,,,,,,,,,,,,,,,,241070.0,106090.0,97684.0,37296.0,203.0,257.0,146.28,64.38,59.28,22.63,1560.0,24.0,0.015,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2022-02-03,265945.0,3078.0,2798.714,736.0,0.0,1.714,296811.96,3435.249,3123.548,821.424,0.0,1.913,1.01,40.0,44.643,211.0,235.49,14.0,15.766,105.0,117.116,115470.0,23076080.0,25754.41,128.872,106721.0,119.108,0.026,38.1,tests performed,1729058.0,684088.0,635987.0,408983.0,2596.0,7036.0,192.97,76.35,70.98,45.65,7853.0,3652.0,0.408,48.15,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
