iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_KOS,Europe,Kosovo,2022-02-03,212671.0,2110.0,2565.857,3032.0,5.0,3.429,119336.294,1183.986,1439.782,1701.349,2.806,1.924,1.82,,,,,,,,,9253.0,1678438.0,941.824,5.192,12376.0,6.945,0.228,4.4,tests performed,1783672.0,894653.0,806268.0,82751.0,2562.0,3411.0,100.09,50.2,45.24,4.64,1914.0,432.0,0.024,42.59,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,2022-02-03,564735.0,5990.0,6199.143,2503.0,2.0,1.857,130467.387,1383.834,1432.151,578.253,0.462,0.429,1.23,,,,,,,,,33081.0,7018332.0,1621.404,7.643,33127.0,7.653,0.187,5.3,tests performed,7345882.0,3368291.0,3258446.0,,,5646.0,169.71,77.82,75.28,,1304.0,780.0,0.018,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,2022-02-03,199164.0,445.0,297.571,2896.0,7.0,4.857,30047.31,67.136,44.894,436.911,1.056,0.733,1.07,,,,,,,,,,,,,,,,,,2526701.0,1348404.0,1097327.0,,8763.0,8803.0,38.12,20.34,16.56,,1328.0,4153.0,0.063,47.22,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,2022-02-03,135301.0,400.0,453.0,558.0,5.0,3.429,18335.064,54.205,61.387,75.616,0.678,0.465,0.76,,,,,,,,,3234.0,955166.0,129.438,0.438,1392.0,0.189,0.325,3.1,tests performed,,,,,,,,,,,,,,60.19,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,2022-02-03,422233.0,9831.0,8344.571,4923.0,12.0,11.0,226163.86,5265.853,4469.666,2636.944,6.428,5.892,1.54,,,733.0,392.622,133.0,71.291,774.0,414.641,25514.0,6127166.0,3281.94,13.666,22422.0,12.01,0.372,2.7,tests performed,2799817.0,1338535.0,1289561.0,456070.0,3579.0,4001.0,149.97,71.7,69.07,24.43,2143.0,364.0,0.019,48.15,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,2022-02-03,948728.0,9446.0,8106.571,9657.0,19.0,16.143,140154.652,1395.448,1197.576,1426.619,2.807,2.385,1.18,,,,,,,,,,,,,,,,,,4947384.0,2447634.0,2040672.0,459078.0,19118.0,13633.0,73.09,36.16,30.15,6.78,2014.0,3019.0,0.045,35.19,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,2022-02-03,32258.0,0.0,29.857,694.0,0.0,0.571,14940.713,0.0,13.829,321.435,0.0,0.265,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,2022-02-03,7272.0,0.0,4.143,290.0,0.0,0.143,1403.805,0.0,0.8,55.982,0.0,0.028,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,2022-02-03,441959.0,3656.0,3676.571,6044.0,9.0,9.286,63513.198,525.398,528.354,868.573,1.293,1.334,1.86,,,,,,,,,11053.0,,,1.588,,,,,samples tested,3082052.0,2046913.0,1008409.0,,,11217.0,44.29,29.42,14.49,,1612.0,4924.0,0.071,50.0,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,2022-02-03,9355.0,179.0,127.143,74.0,1.0,0.143,244549.59,4679.249,3323.649,1934.438,26.141,3.734,1.26,,,,,,,0.0,0.0,,,,,,,,,,69348.0,26673.0,26070.0,17608.0,0.0,84.0,181.28,69.73,68.15,46.03,2196.0,8.0,0.021,,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,2022-02-03,714208.0,12607.0,10668.714,7936.0,19.0,17.286,265518.454,4686.858,3966.268,2950.337,7.064,6.426,1.48,,,1252.0,465.451,,,,,32599.0,7681569.0,2855.748,12.119,29526.0,10.977,0.432,2.3,tests performed,4424199.0,1943326.0,1863428.0,892250.0,3078.0,3250.0,164.48,72.25,69.28,33.17,1208.0,310.0,0.012,57.41,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,2022-02-03,1775221.0,1728.0,2269.714,40591.0,71.0,62.857,2668.907,2.598,3.412,61.025,0.107,0.095,,,,,,,,,,,,,,,,,,,94496533.0,66778271.0,37189879.0,826967.0,40736.0,278526.0,14.21,10.04,5.59,0.12,419.0,134083.0,0.02,,665149040.0,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,2022-02-03,76443970.0,303385.0,341535.857,1237178.0,2177.0,1837.429,22951.65,91.089,102.543,371.452,0.654,0.552,,,,,,,,,,,,,,,,,,,3295647431.0,1811594099.0,1309213753.0,60515125.0,7506347.0,10206174.0,98.95,54.39,39.31,1.82,3064.0,3038874.0,0.091,,3330652550.0,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,2022-02-03,163980.0,1994.0,1871.0,956.0,0.0,1.286,258311.883,3141.078,2947.32,1505.953,0.0,2.025,1.17,8.0,12.602,79.0,124.446,,,52.0,81.456,6222.0,3997645.0,6297.349,9.801,5159.0,8.127,0.363,2.8,tests performed,1229035.0,475998.0,,335076.0,3096.0,3227.0,193.61,74.98,,52.78,5083.0,212.0,0.033,55.56,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,2022-02-03,79.0,0.0,0.0,,,,119.989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1042227.0,508840.0,477091.0,74095.0,279.0,983.0,158.3,77.29,72.46,11.25,1493.0,243.0,0.037,32.41,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,2022-02-03,59319.0,1944.0,277.714,1274.0,51.0,7.286,2086.689,68.385,9.769,44.816,1.794,0.256,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,2022-02-03,84693.0,61.0,67.0,2565.0,1.0,3.0,4310.585,3.105,3.41,130.55,0.051,0.153,0.53,,,,,,,,,733.0,530456.0,26.998,0.037,896.0,0.046,0.075,13.4,tests performed,1905452.0,1506374.0,798174.0,,879.0,693.0,9.7,7.67,4.06,,35.0,693.0,0.004,36.11,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,2022-02-03,2887780.0,5720.0,5338.857,32000.0,8.0,8.571,88106.017,174.517,162.888,976.318,0.244,0.262,1.21,114.0,3.478,2380.0,72.614,,,2699.0,82.346,77646.0,45412566.0,1385.535,2.369,104678.0,3.194,0.049,20.3,people tested,63743710.0,26073108.0,25717422.0,12157974.0,100810.0,88248.0,194.48,79.55,78.46,37.09,2692.0,1043.0,0.003,64.81,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,2022-02-03,145036.0,1834.0,2421.0,280.0,2.0,0.857,266796.659,3373.68,4453.479,515.066,3.679,1.577,1.45,,,,,,,,,5657.0,2079231.0,3824.788,10.406,6766.0,12.446,0.358,2.8,samples tested,846039.0,397683.0,369989.0,78367.0,2630.0,2885.0,155.63,73.15,68.06,14.42,5307.0,29.0,0.005,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,2022-02-03,30148.0,17.0,28.429,715.0,0.0,0.571,1445.55,0.815,1.363,34.283,0.0,0.027,0.54,,,,,,,,,,,,,,,,,,1652365.0,1021729.0,630636.0,,,11722.0,7.92,4.9,3.02,,562.0,5634.0,0.027,40.74,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,2022-02-03,68433.0,240.0,213.571,559.0,3.0,2.571,132596.396,465.026,413.818,1083.123,5.813,4.982,0.72,5.0,9.688,93.0,180.198,,,41.0,79.679,2383.0,1694008.0,3282.325,4.617,2617.0,5.071,0.082,12.3,tests performed,1216897.0,464992.0,452847.0,332467.0,1669.0,1764.0,235.79,90.1,87.74,64.42,3418.0,319.0,0.062,52.78,516100.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,2022-02-03,7.0,0.0,0.0,,,,117.414,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,2022-02-03,58381.0,46.0,66.0,962.0,3.0,3.143,12226.106,9.633,13.822,201.461,0.628,0.658,0.4,,,,,,,,,2460.0,839404.0,175.787,0.515,2717.0,0.569,0.024,41.2,tests performed,2462294.0,1462711.0,975826.0,,,5532.0,51.57,30.63,20.44,,1159.0,2530.0,0.053,37.96,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,2022-02-03,70862.0,128.0,92.0,786.0,0.0,0.0,55646.648,100.516,72.246,617.232,0.0,0.0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
MEX,North America,Mexico,2022-02-03,5027870.0,42181.0,35510.571,307493.0,573.0,455.0,38598.068,323.816,272.608,2360.569,4.399,3.493,1.39,,,,,,,,,15931.0,13515724.0,103.758,0.122,26644.0,0.205,0.631,1.6,people tested,166768826.0,83683108.0,77298207.0,,666616.0,681660.0,128.03,64.24,59.34,,5233.0,42339.0,0.033,57.87,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),2022-02-03,1.0,0.0,0.0,,,,8.602,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,2022-02-03,455095.0,5255.0,3737.286,10718.0,27.0,16.857,113094.476,1305.906,928.743,2663.502,6.71,4.189,1.2,,,,,,,,,17.0,,,0.004,12754.0,3.169,0.241,4.2,tests performed,1952818.0,,1015033.0,,7345.0,5345.0,48.53,,25.22,,1328.0,,,45.37,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,2022-02-03,8183.0,393.0,125.571,48.0,0.0,0.286,207059.717,9944.332,3177.415,1214.575,0.0,7.23,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,2022-02-03,447464.0,694.0,1680.714,2117.0,1.0,2.143,134402.553,208.453,504.828,635.873,0.3,0.644,1.29,,,,,,,,,4026.0,6911505.0,2075.975,1.209,13043.0,3.918,0.129,7.8,samples tested,5448682.0,2269843.0,2170723.0,1008116.0,1253.0,952.0,163.66,68.18,65.2,30.28,286.0,65.0,0.002,37.5,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNE,Europe,Montenegro,2022-02-03,221902.0,688.0,720.857,2591.0,9.0,7.143,353318.441,1095.452,1147.768,4125.461,14.33,11.373,0.71,,,,,,,,,,,,,,,,,,655517.0,287254.0,278147.0,90116.0,621.0,392.0,104.37,45.74,44.29,14.35,624.0,71.0,0.011,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,,,,
MSR,North America,Montserrat,2022-02-03,163.0,0.0,0.286,1.0,0.0,0.0,32724.353,0.0,57.361,200.763,0.0,0.0,,,,,,,,,,,,,,,,,,,3804.0,1826.0,1593.0,,,16.0,76.37,36.66,31.98,,3212.0,5.0,0.1,,4981.0,,,,,,,,,,,,,74.16,,,,,
MAR,Africa,Morocco,2022-02-03,1141708.0,2861.0,3088.714,15515.0,51.0,35.0,30572.085,76.61,82.708,415.453,1.366,0.937,0.86,,,,,,,,,21125.0,10623022.0,284.458,0.566,21078.0,0.564,0.214,4.7,people tested,52356034.0,24760419.0,23182509.0,,51870.0,47371.0,140.2,66.3,62.08,,1268.0,2711.0,0.007,67.59,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,2022-02-03,224143.0,100.0,104.286,2180.0,0.0,2.286,6968.961,3.109,3.242,67.78,0.0,0.071,0.43,,,,,,,,,3372.0,1229425.0,38.225,0.105,1818.0,0.057,0.057,17.4,tests performed,19788759.0,10759191.0,9022900.0,,,80250.0,61.53,33.45,28.05,,2495.0,31916.0,0.099,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,2022-02-03,536904.0,368.0,319.0,19310.0,0.0,0.0,9796.443,6.715,5.821,352.334,0.0,0.0,1.17,,,,,,,,,11236.0,6445899.0,117.613,0.205,19302.0,0.352,0.015,66.5,samples tested,40953452.0,22106391.0,18847061.0,,,135935.0,74.72,40.34,34.39,,2480.0,51353.0,0.094,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
NAM,Africa,Namibia,2022-02-03,156102.0,58.0,68.429,3973.0,0.0,3.714,60332.913,22.417,26.447,1535.552,0.0,1.436,0.54,,,,,,,,,700.0,925250.0,357.606,0.271,1255.0,0.485,0.054,18.3,tests performed,773702.0,418004.0,356763.0,,,16348.0,29.9,16.16,13.79,,6318.0,289.0,0.011,30.56,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,
NPL,Asia,Nepal,2022-02-03,962517.0,2742.0,3321.429,11778.0,14.0,13.0,32435.37,92.401,111.927,396.901,0.472,0.438,0.79,,,,,,,,,10026.0,5257175.0,177.159,0.338,10210.0,0.344,0.325,3.1,tests performed,31642503.0,16830395.0,14407775.0,,,282557.0,106.63,56.72,48.55,,9522.0,70923.0,0.239,62.96,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NLD,Europe,Netherlands,2022-02-03,4697492.0,82891.0,79519.0,21389.0,7.0,8.143,273537.896,4826.795,4630.441,1245.495,0.408,0.474,1.44,218.0,12.694,1168.0,68.013,102.0,5.94,1216.0,70.808,151234.0,25887168.0,1507.426,8.806,143756.0,8.371,0.535,1.9,tests performed,33411666.0,13414624.0,12323693.0,8541437.0,,41641.0,194.56,78.11,71.76,49.74,2425.0,6368.0,0.037,58.33,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,28069.5,8.69,-5.04,1634.505
NCL,Oceania,New Caledonia,2022-02-03,24491.0,1260.0,941.143,284.0,0.0,0.143,84974.169,4371.706,3265.397,985.369,0.0,0.496,,,,,,,,,,,,,,,,,,,363290.0,186200.0,177090.0,,,171.0,126.05,64.6,61.44,,593.0,99.0,0.034,,288217.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,
NZL,Oceania,New Zealand,2022-02-03,17277.0,272.0,183.714,53.0,0.0,0.143,3370.267,53.06,35.838,10.339,0.0,0.028,1.42,,,,,,,,,24908.0,6096862.0,1189.33,4.859,20004.0,3.902,0.009,108.9,tests performed,9611009.0,4196061.0,3931782.0,1483166.0,30308.0,43435.0,187.48,81.85,76.7,28.93,8473.0,8182.0,0.16,62.04,5126300.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
NIC,North America,Nicaragua,2022-02-03,17709.0,0.0,8.429,221.0,0.0,0.143,2642.196,0.0,1.258,32.973,0.0,0.021,1.27,,,,,,,,,,,,,,,,,,8881477.0,5279733.0,3601744.0,,,31693.0,132.51,78.77,53.74,,4729.0,11334.0,0.169,8.33,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,
NER,Africa,Niger,2022-02-03,8656.0,0.0,3.429,301.0,0.0,0.571,344.438,0.0,0.136,11.977,0.0,0.023,0.76,,,,,,,,,,,,,,,,,,1798575.0,1442884.0,1025950.0,,,972.0,7.16,5.74,4.08,,39.0,858.0,0.003,,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,
NGA,Africa,Nigeria,2022-02-03,253405.0,0.0,93.143,3136.0,0.0,0.286,1198.695,0.0,0.441,14.834,0.0,0.001,0.59,,,,,,,,,,4116369.0,19.472,,8642.0,0.041,0.014,72.4,samples tested,20617588.0,14834559.0,5446849.0,,186047.0,179582.0,9.75,7.02,2.58,,849.0,151729.0,0.072,30.56,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,
OWID_NAM,,North America,2022-02-03,88989206.0,337419.0,426604.429,1308551.0,3099.0,3157.143,149165.266,565.588,715.082,2193.416,5.195,5.292,,,,,,,,,,,,,,,,,,,899090948.0,416092680.0,361008655.0,117331179.0,205596.0,1013771.0,150.71,69.75,60.51,19.67,1699.0,163536.0,0.027,,596581283.0,,,,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2022-02-03,274144.0,1707.0,1562.571,8494.0,24.0,26.0,131631.6,819.625,750.276,4078.436,11.524,12.484,1.09,,,,,,,,,,,,,,,,,,1804728.0,849249.0,828358.0,127121.0,,1128.0,86.65,40.78,39.77,6.1,542.0,159.0,0.008,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
NOR,Europe,Norway,2022-02-03,849389.0,21804.0,19265.286,1467.0,27.0,4.0,155405.535,3989.294,3524.807,268.405,4.94,0.732,1.26,,,230.0,42.081,17.0,3.167,205.0,37.447,31131.0,10210795.0,1868.183,5.696,30930.0,5.659,0.634,1.6,people tested,11055841.0,4317852.0,3997344.0,2740645.0,28492.0,20750.0,202.28,79.0,73.14,50.14,3796.0,846.0,0.015,48.15,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,
OWID_OCE,,Oceania,2022-02-03,2874660.0,35013.0,33454.143,6481.0,92.0,90.286,66512.334,810.112,774.044,149.954,2.129,2.089,,,,,,,,,,,,,,,,,,,63809099.0,27907342.0,25787305.0,10114452.0,402934.0,275833.0,147.64,64.57,59.67,23.4,6382.0,40198.0,0.093,,43219954.0,,,,,,,,,,,,,,,,,,
OMN,Asia,Oman,2022-02-03,346041.0,1998.0,2182.0,4158.0,5.0,3.429,66248.534,382.511,417.737,796.037,0.957,0.656,1.75,,,,,,,,,,,,,,,,,,6600551.0,3181438.0,2967168.0,,,16068.0,126.37,60.91,56.81,,3076.0,2325.0,0.045,69.44,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
PAK,Asia,Pakistan,2022-02-03,1448663.0,6400.0,6656.143,29420.0,48.0,32.571,6432.786,28.419,29.557,130.639,0.213,0.145,1.28,,,,,,,,,59786.0,25194561.0,111.876,0.265,62515.0,0.278,0.106,9.4,tests performed,180661534.0,107277517.0,83946354.0,2758593.0,1664560.0,939480.0,80.22,47.64,37.28,1.22,4172.0,435633.0,0.193,30.09,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,
PLW,Oceania,Palau,2022-02-03,2115.0,175.0,156.143,,,,116375.041,9629.141,8591.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,,,
PSE,Asia,Palestine,2022-02-03,556550.0,10374.0,8015.143,5128.0,12.0,7.714,106562.512,1986.308,1534.658,981.857,2.298,1.477,2.71,,,,,,,,,19704.0,,,3.773,8370.0,1.603,0.195,5.1,tests performed,,,,,,,,,,,,,,,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,,,,
PAN,North America,Panama,2022-02-03,717171.0,11291.0,5577.571,7788.0,36.0,18.857,163678.515,2576.923,1272.958,1777.44,8.216,4.304,1.28,,,,,,,,,21790.0,5263461.0,1201.269,4.973,21109.0,4.818,0.264,3.8,tests performed,6602026.0,3127702.0,2505992.0,968332.0,17654.0,16540.0,150.68,71.38,57.19,22.1,3775.0,3514.0,0.08,48.15,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PNG,Oceania,Papua New Guinea,2022-02-03,37390.0,120.0,113.429,597.0,0.0,0.0,4100.228,13.159,12.439,65.468,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,522939.0,292091.0,230848.0,,,144.0,5.73,3.2,2.53,,16.0,59.0,0.001,,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,
PRY,South America,Paraguay,2022-02-03,598170.0,3740.0,5466.286,17476.0,50.0,42.857,82853.15,518.031,757.141,2420.619,6.926,5.936,1.26,,,,,,,,,12481.0,2397663.0,332.103,1.729,11987.0,1.66,0.456,2.2,tests performed,7478535.0,3540518.0,3088920.0,849097.0,,9675.0,103.59,49.04,42.78,11.76,1340.0,1891.0,0.026,35.19,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,
PER,South America,Peru,2022-02-03,3308693.0,22542.0,26898.857,206406.0,186.0,209.429,99183.184,675.731,806.335,6187.339,5.576,6.278,1.43,,,,,,,,,1.0,7181133.0,215.266,0.0,0.0,0.0,0.313,3.2,tests performed,55404983.0,25016848.0,22782128.0,7606007.0,52725.0,93106.0,166.08,74.99,68.29,22.8,2791.0,9160.0,0.027,57.41,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,220596.1,82.65,54.78,6612.709
PHL,Asia,Philippines,2022-02-03,3585461.0,8163.0,13144.857,54168.0,71.0,61.714,32287.805,73.509,118.372,487.794,0.639,0.556,0.75,,,,,,,,,64860.0,25196245.0,226.897,0.584,68771.0,0.619,0.473,2.1,people tested,127570820.0,,59342837.0,7704701.0,407214.0,354529.0,114.88,,53.44,6.94,3193.0,,,71.76,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,
POL,Europe,Poland,2022-02-03,5035796.0,54475.0,48623.0,106060.0,307.0,203.429,133232.69,1441.252,1286.425,2806.043,8.122,5.382,1.43,,,15029.0,397.624,,,,,170191.0,30377928.0,803.713,4.503,153495.0,4.061,0.317,3.2,people tested,51996078.0,22363222.0,21819649.0,10493700.0,108458.0,105899.0,137.57,59.17,57.73,27.76,2802.0,13431.0,0.036,39.81,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
PRT,Europe,Portugal,2022-02-03,2795830.0,50447.0,50329.429,20077.0,53.0,47.571,274965.694,4961.387,4949.824,1974.543,5.212,4.679,1.19,155.0,15.244,2440.0,239.97,,,,,239481.0,35261065.0,3467.873,23.553,264554.0,26.018,0.198,5.0,tests performed,21785390.0,9588046.0,9209148.0,5280984.0,68920.0,76229.0,214.26,94.3,90.57,51.94,7497.0,1501.0,0.015,31.48,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,,,,
QAT,Asia,Qatar,2022-02-03,342811.0,1183.0,1430.143,651.0,2.0,1.571,116979.421,403.682,488.016,222.145,0.682,0.536,0.64,,,,,,,,,,,,,,,,,,5905780.0,,,,27526.0,24921.0,201.53,,,,8504.0,,,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,
ROU,Europe,Romania,2022-02-03,2325016.0,32671.0,30026.0,60353.0,111.0,79.429,121551.846,1708.04,1569.759,3155.255,5.803,4.153,1.51,,,,,,,,,102045.0,19443558.0,1016.509,5.335,91958.0,4.808,0.326,3.1,tests performed,16465301.0,8112587.0,7986889.0,,16185.0,17672.0,86.08,42.41,41.76,,924.0,21105.0,0.11,52.78,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,
